objectId,muni,featureCode,countryCode,cityId,ACL,name,population,updatedAt,location,country,createdAt,adminCode
WrTjJLmvV5,,PPL,UA,505257,null,Urzuf,2904,Sat Dec 14 2019 04:09:22 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":46.91562,""longitude"":37.09961}",Ukraine,Sat Dec 14 2019 04:09:22 GMT+0200 (Eastern European Standard Time),05
mWzfykE61J,,PPL,UA,686818,null,Zuhres,19121,Sat Dec 14 2019 04:09:22 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":48.0114,""longitude"":38.26444}",Ukraine,Sat Dec 14 2019 04:09:22 GMT+0200 (Eastern European Standard Time),05
m6UGcfy7M7,,PPLA2,UA,686896,null,Zolochiv,22608,Sat Dec 14 2019 04:09:22 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":49.80597,""longitude"":24.89436}",Ukraine,Sat Dec 14 2019 04:09:22 GMT+0200 (Eastern European Standard Time),15
RdvzwG5b8J,,PPLA2,UA,618835,null,Zhydachiv,0,Sat Dec 14 2019 04:09:22 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":49.38468,""longitude"":24.14254}",Ukraine,Sat Dec 14 2019 04:09:22 GMT+0200 (Eastern European Standard Time),15
EFYhjj4o0L,11153029,PPLA3,UA,686748,null,Kovyl’noye,783,Sat Dec 14 2019 04:09:22 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":45.69028,""longitude"":33.52775}",Ukraine,Sat Dec 14 2019 04:09:22 GMT+0200 (Eastern European Standard Time),11
ckdJOnvbAn,,PPL,UA,616743,null,Druzhkivka,62315,Sat Dec 14 2019 04:09:22 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":48.63013,""longitude"":37.55259}",Ukraine,Sat Dec 14 2019 04:09:22 GMT+0200 (Eastern European Standard Time),05
crxlNUM0gC,,PPLA2,UA,686875,null,Zolotonosha,27722,Sat Dec 14 2019 04:09:22 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":49.66832,""longitude"":32.04047}",Ukraine,Sat Dec 14 2019 04:09:22 GMT+0200 (Eastern European Standard Time),01
YfAQHRDvhz,,PPL,UA,616196,null,Staryy Dobrotvir,6436,Sat Dec 14 2019 04:09:22 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":50.23154,""longitude"":24.37701}",Ukraine,Sat Dec 14 2019 04:09:22 GMT+0200 (Eastern European Standard Time),15
xjCvK2ClGL,,PPL,UA,686762,null,Ivano-Frankove,6223,Sat Dec 14 2019 04:09:22 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":49.91978,""longitude"":23.72913}",Ukraine,Sat Dec 14 2019 04:09:22 GMT+0200 (Eastern European Standard Time),15
WDZKLDTExW,,PPLA2,UA,686729,null,Vasylivka,15012,Sat Dec 14 2019 04:09:22 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":47.43694,""longitude"":35.27417}",Ukraine,Sat Dec 14 2019 04:09:22 GMT+0200 (Eastern European Standard Time),26
iYbmeG6hgI,,PPL,UA,686852,null,Zoryns’k,7532,Sat Dec 14 2019 04:09:22 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":48.41194,""longitude"":38.62361}",Ukraine,Sat Dec 14 2019 04:09:22 GMT+0200 (Eastern European Standard Time),14
Bc4AS0rviV,,PPLA2,UA,613273,null,Lebedyn,27695,Sat Dec 14 2019 04:09:22 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":50.58518,""longitude"":34.4849}",Ukraine,Sat Dec 14 2019 04:09:22 GMT+0200 (Eastern European Standard Time),21
ra3mxi7FYT,11153142,PPLA3,UA,461727,null,Olenevka,1441,Sat Dec 14 2019 04:09:22 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":45.38333,""longitude"":32.53333}",Ukraine,Sat Dec 14 2019 04:09:22 GMT+0200 (Eastern European Standard Time),11
edNUY8eUJM,11152832,PPLA3,UA,686812,null,Zuya,6230,Sat Dec 14 2019 04:09:22 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":45.05418,""longitude"":34.32152}",Ukraine,Sat Dec 14 2019 04:09:22 GMT+0200 (Eastern European Standard Time),11
6dYb9aWGir,11152833,PPLA3,UA,686778,null,Zybiny,1220,Sat Dec 14 2019 04:09:22 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":45.23674,""longitude"":34.64987}",Ukraine,Sat Dec 14 2019 04:09:22 GMT+0200 (Eastern European Standard Time),11
AYa5fPelym,11152966,PPLA3,UA,686850,null,Zorkino,1099,Sat Dec 14 2019 04:09:22 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":45.54762,""longitude"":34.71028}",Ukraine,Sat Dec 14 2019 04:09:22 GMT+0200 (Eastern European Standard Time),11
NQkBqzWugT,,PPLA2,UA,686803,null,Zvenihorodka,19161,Sat Dec 14 2019 04:09:22 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":49.07866,""longitude"":30.96755}",Ukraine,Sat Dec 14 2019 04:09:22 GMT+0200 (Eastern European Standard Time),01
Y9obyi8a5g,11152895,PPLA3,UA,686866,null,Zolotoye Pole,2543,Sat Dec 14 2019 04:09:22 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":45.12774,""longitude"":34.99148}",Ukraine,Sat Dec 14 2019 04:09:22 GMT+0200 (Eastern European Standard Time),11
WjO8FVDuH5,,PPLA2,UA,686895,null,Zolochiv,11160,Sat Dec 14 2019 04:09:22 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":50.27985,""longitude"":35.98179}",Ukraine,Sat Dec 14 2019 04:09:22 GMT+0200 (Eastern European Standard Time),07
LOOuSVLD1W,,PPL,UA,686863,null,Zolotyy Potik,2343,Sat Dec 14 2019 04:09:22 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":48.9095,""longitude"":25.33926}",Ukraine,Sat Dec 14 2019 04:09:22 GMT+0200 (Eastern European Standard Time),22
ScS0GPJcid,,PPLA2,UA,686919,null,Znomenka,28318,Sat Dec 14 2019 04:09:25 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":48.71278,""longitude"":32.66472}",Ukraine,Sat Dec 14 2019 04:09:25 GMT+0200 (Eastern European Standard Time),10
ZUs4tqJX8Z,11152893,PPLA3,UA,687005,null,Zhuravki,2666,Sat Dec 14 2019 04:09:25 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":45.12629,""longitude"":35.21513}",Ukraine,Sat Dec 14 2019 04:09:25 GMT+0200 (Eastern European Standard Time),11
