name,location,population,latitude,longitude,region
Urzuf,"{""__type"":""GeoPoint"",""latitude"":46.91562,""longitude"":37.09961}",2904,46.91562,37.09961,Donetska
Zuhres,"{""__type"":""GeoPoint"",""latitude"":48.0114,""longitude"":38.26444}",19121,48.0114,38.26444,Donetska
Zolochiv,"{""__type"":""GeoPoint"",""latitude"":49.80597,""longitude"":24.89436}",22608,49.80597,24.89436,Lvivska
Zhydachiv,"{""__type"":""GeoPoint"",""latitude"":49.38468,""longitude"":24.14254}",0,49.38468,24.14254,Lvivska
Kovyl’noye,"{""__type"":""GeoPoint"",""latitude"":45.69028,""longitude"":33.52775}",783,45.69028,33.52775,Crimea
Druzhkivka,"{""__type"":""GeoPoint"",""latitude"":48.63013,""longitude"":37.55259}",62315,48.63013,37.55259,Donetska
Zolotonosha,"{""__type"":""GeoPoint"",""latitude"":49.66832,""longitude"":32.04047}",27722,49.66832,32.04047,Cherkaska
Staryy Dobrotvir,"{""__type"":""GeoPoint"",""latitude"":50.23154,""longitude"":24.37701}",6436,50.23154,24.37701,Lvivska
Ivano-Frankove,"{""__type"":""GeoPoint"",""latitude"":49.91978,""longitude"":23.72913}",6223,49.91978,23.72913,Lvivska
Vasylivka,"{""__type"":""GeoPoint"",""latitude"":47.43694,""longitude"":35.27417}",15012,47.43694,35.27417,Zaporizka
Zoryns’k,"{""__type"":""GeoPoint"",""latitude"":48.41194,""longitude"":38.62361}",7532,48.41194,38.62361,Luhanska
Lebedyn,"{""__type"":""GeoPoint"",""latitude"":50.58518,""longitude"":34.4849}",27695,50.58518,34.4849,Sumska
Olenevka,"{""__type"":""GeoPoint"",""latitude"":45.38333,""longitude"":32.53333}",1441,45.38333,32.53333,Crimea
Zuya,"{""__type"":""GeoPoint"",""latitude"":45.05418,""longitude"":34.32152}",6230,45.05418,34.32152,Crimea
Zybiny,"{""__type"":""GeoPoint"",""latitude"":45.23674,""longitude"":34.64987}",1220,45.23674,34.64987,Crimea
Zorkino,"{""__type"":""GeoPoint"",""latitude"":45.54762,""longitude"":34.71028}",1099,45.54762,34.71028,Crimea
Zvenihorodka,"{""__type"":""GeoPoint"",""latitude"":49.07866,""longitude"":30.96755}",19161,49.07866,30.96755,Cherkaska
Zolotoye Pole,"{""__type"":""GeoPoint"",""latitude"":45.12774,""longitude"":34.99148}",2543,45.12774,34.99148,Crimea
Zolochiv,"{""__type"":""GeoPoint"",""latitude"":50.27985,""longitude"":35.98179}",11160,50.27985,35.98179,Kharkivska
Zolotyy Potik,"{""__type"":""GeoPoint"",""latitude"":48.9095,""longitude"":25.33926}",2343,48.9095,25.33926,Ternopilska
Znomenka,"{""__type"":""GeoPoint"",""latitude"":48.71278,""longitude"":32.66472}",28318,48.71278,32.66472,Kirovohradska
Zhuravki,"{""__type"":""GeoPoint"",""latitude"":45.12629,""longitude"":35.21513}",2666,45.12629,35.21513,Crimea
Zlynka,"{""__type"":""GeoPoint"",""latitude"":48.48521,""longitude"":31.53906}",4981,48.48521,31.53906,Kirovohradska
Zhvanets,"{""__type"":""GeoPoint"",""latitude"":48.54968,""longitude"":26.48744}",1529,48.54968,26.48744,Khmelnytska
Zmiyiv,"{""__type"":""GeoPoint"",""latitude"":49.67453,""longitude"":36.34775}",16095,49.67453,36.34775,Kharkivska
Zhytomyr,"{""__type"":""GeoPoint"",""latitude"":50.26487,""longitude"":28.67669}",282192,50.26487,28.67669,Zhytomyrska
Zhemchuzhina,"{""__type"":""GeoPoint"",""latitude"":45.27466,""longitude"":34.65778}",971,45.27466,34.65778,Crimea
Zelyonoye,"{""__type"":""GeoPoint"",""latitude"":44.59583,""longitude"":34.00921}",280,44.59583,34.00921,Crimea
Zgurovka,"{""__type"":""GeoPoint"",""latitude"":50.50276,""longitude"":31.78492}",6369,50.50276,31.78492,Kyivska
Zhuravka,"{""__type"":""GeoPoint"",""latitude"":50.48108,""longitude"":32.5949}",2900,50.48108,32.5949,Chernihivska
Blahodatne,"{""__type"":""GeoPoint"",""latitude"":50.66365,""longitude"":24.24918}",4652,50.66365,24.24918,Volynska
Zimino,"{""__type"":""GeoPoint"",""latitude"":45.50797,""longitude"":33.51431}",1000,45.50797,33.51431,Crimea
Zhashkiv,"{""__type"":""GeoPoint"",""latitude"":49.24545,""longitude"":30.1102}",15264,49.24545,30.1102,Cherkaska
Zin’kiv,"{""__type"":""GeoPoint"",""latitude"":50.20806,""longitude"":34.36376}",10393,50.20806,34.36376,Poltavska
Zhmerynka,"{""__type"":""GeoPoint"",""latitude"":49.03705,""longitude"":28.11201}",35960,49.03705,28.11201,Vinnytska
Zhovkva,"{""__type"":""GeoPoint"",""latitude"":50.05825,""longitude"":23.9726}",12973,50.05825,23.9726,Lvivska
Zernovoye,"{""__type"":""GeoPoint"",""latitude"":45.32364,""longitude"":34.48099}",1023,45.32364,34.48099,Crimea
Zhelyabovka,"{""__type"":""GeoPoint"",""latitude"":45.39877,""longitude"":34.75776}",2669,45.39877,34.75776,Crimea
Zemlyanichnoye,"{""__type"":""GeoPoint"",""latitude"":44.97444,""longitude"":34.83553}",660,44.97444,34.83553,Crimea
Zhovti Vody,"{""__type"":""GeoPoint"",""latitude"":48.34493,""longitude"":33.50374}",51559,48.34493,33.50374,Dnipropetrovska
Zelenogorskoye,"{""__type"":""GeoPoint"",""latitude"":45.01249,""longitude"":34.46848}",1877,45.01249,34.46848,Crimea
Zavetnoye,"{""__type"":""GeoPoint"",""latitude"":45.32697,""longitude"":34.80837}",1628,Crimea,34.80837,
Zavallya,"{""__type"":""GeoPoint"",""latitude"":48.21354,""longitude"":30.01558}",5010,48.21354,30.01558,Kirovohradska
Zavetnoye,"{""__type"":""GeoPoint"",""latitude"":45.12305,""longitude"":36.39965}",1175,45.12305,36.39965,Crimea
Zarichchya,"{""__type"":""GeoPoint"",""latitude"":48.52144,""longitude"":24.64857}",3832,48.52144,24.64857,Ivano-Frankivska
