"",Статус,Населений пункт,Потребуючі,Що передаємо,К-сть осіб,Набір звичайний,Набір сімейний,дорослі щітки,доросла паста,шампунь,мило,жіночі прокладки,підгузки дитячі,підгузки дорослі
1,"",Харків,пенсіонерка,"предмети особистої гігієни, продукти харчування
",1,1,"",1,1,1,1,"","",""
2,відправлено,Харків,інвалід і батьки-пенсіонери,"предмети особистої гігієни, продукти харчування
",3,1,"",3,1,1,1,1,"",""
3,відправлено,Київ,ВПО з Херсону: мама і двоє дітей,"предмети особистої гігієни, продукти харчування
",3,1,"",3,1,1,1,2,"",""
4,відправлено,Запоріжжя,пенсіонерка,"предмети особистої гігієни, продукти харчування
",1,1,"",1,1,1,1,1,"",""
5,відправлено,Костянтинівка Донецька обл,"пенсіонерка, мама-одиначка і дитина","предмети особистої гігієни, продукти харчування
",3,1,"",3,1,1,1,1,"",""
6,відправлено,Харків,мама-одиначка і син ,"предмети особистої гігієни, продукти харчування
",2,1,"",2,1,1,1,1,"",""
7,відправлено,Харків,сім'я - ВПО з Ізюмського р-ну,"предмети особистої гігієни, продукти харчування
",2,1,"",2,1,1,1,1,"",""
8,відправлено,Вільшани,сім'я - ВПО із Золочівської громади,"предмети особистої гігієни, продукти харчування
",4,"",1,4,1,1,2,1,"",""
9,відправлено,Бориспіль Київська обл,сім'я - ВПО з Донецької обл  з дітьми 8р. і 4м.,"предмети особистої гігієни, продукти харчування
",4,"",1,3,1,1,2,2,"",""
10,відправлено,Богодухів Харківська обл,інвалід і пенсіонер,"предмети особистої гігієни, продукти харчування
",2,1,"",2,1,1,1,1,"",""
11,відправлено,Дніпро,ВПО з Костянтинівки,"предмети особистої гігієни, продукти харчування
",4,"",1,3,1,1,1,1,"",""
12,відправлено,Новий Буг Миколаївська обл,"ВПО з Вознесенська, а перед тим у 2014 - з Криму","предмети особистої гігієни, продукти харчування
",4,"",1,4,1,1,2,2,"",""
13,відправлено,Надрічне Одеська обл,"одинока мама і 5 дітей: 4, 9, 12, 7, 8 і 0,5р.","предмети особистої гігієни, продукти харчування
",6,"",2,5,2,2,3,2,1,""
14,відправлено,Одеса,одинока мама і дитина-інвалід,"предмети особистої гігієни, продукти харчування
",2,1,"",2,1,1,1,2,"",""
15,відправлено,Одеса,"ВПО зі Слов'янська: пенсіонер, дві жінки і діти 5 і 8р.","предмети особистої гігієни, продукти харчування
",5,"",1,4,1,1,2,2,"",""
16,відправлено,Перечин Закарпатська обл,ВПО з Краматорська: одинока мама і доня 1р.,"предмети особистої гігієни, продукти харчування
",2,1,"",1,1,1,1,1,1,""
17,відправлено,Шостка Сумська обл,одинока мама і двоє дітей: 7 і 10р.,"предмети особистої гігієни, продукти харчування
",3,1,"",3,1,1,1,1,"",""
18,відправлено,Конотоп Сумська обл,"багатодітна родина і троє дітей: 15, 10 і 4р.","предмети особистої гігієни, продукти харчування
",5,"",1,5,1,1,2,2,"",""
19,відправлено,Мала Виска Кіровоградська обл,"ВПО з Вугледара: мати-одиначка, син 12р. і пенсіонерка 73р.","предмети особистої гігієни, продукти харчування
",3,1,"",3,1,1,1,1,"",""
20,відправлено,Добропілля Донецька обл,ВПО з Краматорського р-ну: сім'я з дітьми 11 і 5р.,"предмети особистої гігієни, продукти харчування
",4,"",1,4,1,1,2,1,"",""
21,відправлено,Краснопілля Сумська обл,пенсіонерка у прифронтовій зоні,"предмети особистої гігієни, продукти харчування
",1,1,"",1,1,1,1,"","",""
22,відправлено,Синельникове Дніпропетровська обл,ВПО сім'я з двома дітьми 9 і 6р.,"предмети особистої гігієни, продукти харчування
",4,"",1,4,1,1,2,1,"",""
23,відправлено,Ямпіль Вінницька обл,ВПО мама і двоє дітей 15 і 11р.,"предмети особистої гігієни, продукти харчування
",3,1,"",3,1,1,1,2,"",""
24,відправлено,Кривий Ріг,"мама-одиначка, діти 14 і 17р.","предмети особистої гігієни, продукти харчування
",3,1,"",3,1,1,2,1,"",""
25,відправлено,Хмельницький,ВПО із Сум: мама з донькою 7р.,"предмети особистої гігієни, продукти харчування
",2,1,"",1,1,1,1,1,"",""
26,відправлено,Роздори Дніпропетровська обл,"багатодітна сім'я і діти 9, 6 і 4р.","предмети особистої гігієни, продукти харчування
",5,"",1,3,1,2,3,1,"",""
27,відправлено,Кривий Ріг,мама і дитина 4р.,"предмети особистої гігієни, продукти харчування
",2,1,"",1,1,1,1,1,"",""
28,відправлено,Київ,ВПО з Донецької обл: мама і донька 4р.,"предмети особистої гігієни, продукти харчування
",2,1,"",1,1,1,1,1,"",""
29,відправлено,Яготин Київська обл,ВПО з Харківської обл,"предмети особистої гігієни, продукти харчування
",5,"",1,4,"",1,2,2,1,""
30,відправлено,Харків,ВПО з Харківської обл,"предмети особистої гігієни, продукти харчування
",4,"",1,4,1,1,1,1,"",""
31,відправлено,Балта Одеська обл,мама і двоє дітей 6р. і 4м.,"предмети особистої гігієни, продукти харчування
",3,1,"",2,1,1,1,1,1,""
32,відправлено,Київ,"ВПО з Краматорська: мама, дитина 9р. і пенсіонер 81р.","предмети особистої гігієни, продукти харчування
",3,1,"",3,1,1,1,1,"",""
33,відправлено,Ірпінь,"ВПО із Бахмуту: жінка, чоловік-інвалід і мати 74р.","предмети особистої гігієни, продукти харчування
",3,1,"",3,1,1,1,1,"",""
34,відправлено,Дніпро,"ВПО із Краматорська: мама, дво дітей 11 і 2р. і пенсіонер","предмети особистої гігієни, продукти харчування
",4,"",1,3,1,1,2,1,"",""
35,відправлено,Кривий Ріг,"багатодітна сім'я і діти 11, 8 і 1р.","предмети особистої гігієни, продукти харчування
",5,"",1,4,1,1,2,1,1,""
36,відправлено,Полтава,ВПО з Ізюму,"предмети особистої гігієни, продукти харчування
",1,1,"",1,1,"",1,1,"",""
37,відправлено,Конотоп Сумська обл,"самотня мама і двоє дітей 8 і 2,6р.","предмети особистої гігієни, продукти харчування
",3,1,"",2,1,1,1,1,"",""
38,відправлено,Кременчук,ВПО з Куп'янського р-ну Харківської обл - мама і син,"предмети особистої гігієни, продукти харчування
",2,1,"",2,1,1,1,1,"",""
